id,Account,Amount,Counterparty,Tags,Date,Location
1084,Checking,238.71,Gojek,"Groceries, Travel, General Expenses, Entertainment, Dining",2022-10-16,Singapore
1085,Checking,56.36,Grab,Travel,2022-11-02,Australia
1086,Savings,235.67,Fairprice,"General Expenses, Transportation, Entertainment, Dining, Groceries, Travel",2022-10-29,Singapore
1087,Checking,515.51,Gojek,"General Expenses, Travel, Groceries",2022-08-27,Singapore
1088,Checking,986.97,Walmart,"Dining, Groceries, Transportation",2022-07-08,Japan
1089,Checking,495.23,Amazon,Travel,2022-06-04,Indonesia
1090,Joint Account,25.88,Google,"Travel, Groceries, Entertainment, Dining, General Expenses",2022-08-20,Singapore
1091,Checking,885.31,Amazon,"Entertainment, Travel, Transportation",2022-10-01,Singapore
1092,Joint Account,986.51,Uber,"General Expenses, Dining, Entertainment, Travel",2022-08-15,Singapore
1093,Joint Account,289.6,Starbucks,"Groceries, Transportation, Entertainment, Travel",2022-08-12,Singapore
1094,Joint Account,783.33,Walmart,"General Expenses, Transportation, Dining, Travel, Groceries, Entertainment",2022-09-15,Australia
1095,Checking,712.75,Walmart,"Groceries, Dining, Transportation, Entertainment",2022-06-07,Indonesia
1096,Checking,492.87,Starbucks,"Groceries, General Expenses, Transportation, Travel, Entertainment",2022-07-04,Indonesia
1097,Savings,837.55,Grab,"General Expenses, Groceries, Dining",2022-10-04,Singapore
1098,Checking,633.09,Starbucks,"Entertainment, Transportation, Dining, Travel",2022-12-11,Singapore
1099,Joint Account,681.5,Uber,"General Expenses, Groceries, Transportation, Dining",2022-06-18,Australia
1100,Joint Account,358.61,Uber,"Transportation, Entertainment, Travel, Groceries",2022-06-29,Singapore
1101,Joint Account,976.33,Grab,"Entertainment, Transportation, Travel, Groceries, General Expenses",2022-09-27,Japan
1102,Savings,932.96,Grab,"General Expenses, Entertainment, Groceries",2022-12-29,Japan
1103,Checking,560.4,Gojek,"Travel, General Expenses, Entertainment, Dining",2022-11-09,Indonesia
1104,Joint Account,392.45,Gojek,"Groceries, Dining, Entertainment, General Expenses, Transportation",2022-12-29,Australia
1105,Joint Account,749.42,Starbucks,"Travel, Dining",2022-08-03,Japan
1106,Savings,746.89,Fairprice,"Groceries, Travel, Dining, Transportation",2022-10-11,Japan
1107,Checking,164.29,Starbucks,"Travel, Groceries",2022-10-22,Australia
1108,Savings,145.58,Fairprice,"Entertainment, Transportation",2022-07-05,Indonesia
1109,Joint Account,895.81,Grab,"Transportation, Groceries, Dining, Entertainment, Travel",2022-10-18,Singapore
1110,Checking,13.34,Amazon,"General Expenses, Dining, Groceries",2022-06-01,Singapore
1111,Checking,259.25,Gojek,"Dining, Groceries",2022-10-22,Australia
1112,Joint Account,96.3,Grab,"Dining, Travel, General Expenses, Transportation",2022-09-17,Singapore
1113,Savings,652.73,Walmart,"Travel, Entertainment, Groceries, Dining, Transportation",2022-08-18,Japan
1114,Savings,107.37,Grab,"Dining, Travel, Entertainment, Groceries, Transportation",2022-12-08,Indonesia
1115,Checking,310.16,Gojek,"Transportation, Groceries",2022-09-10,Japan
1116,Joint Account,971.98,Fairprice,"Dining, Travel",2022-08-11,Japan
1117,Savings,338.78,Starbucks,"Dining, Groceries",2022-06-23,Indonesia
1118,Savings,364.9,Google,"Entertainment, General Expenses, Travel",2022-06-03,Australia
1119,Savings,210.13,Google,Groceries,2022-12-26,Japan
1120,Checking,256.5,Grab,"Transportation, Entertainment, Travel, General Expenses, Dining",2022-09-13,Australia
1121,Savings,479.66,ACME,"Entertainment, Transportation, Groceries, Dining, Travel",2022-10-09,Singapore
1122,Savings,930.15,Amazon,Dining,2022-07-14,Australia
1123,Savings,998.94,Fairprice,"Groceries, Transportation, Dining",2022-10-27,Japan
1124,Joint Account,927.33,Starbucks,"Groceries, Travel, Transportation, Dining, Entertainment, General Expenses",2022-09-12,Singapore
1125,Joint Account,257.75,Uber,"Dining, General Expenses, Transportation, Entertainment, Travel, Groceries",2022-09-21,Singapore
1126,Checking,507.53,Google,"Entertainment, General Expenses",2022-11-09,Australia
1127,Checking,150.28,Grab,"Travel, Groceries",2022-06-14,Japan
1128,Savings,766.59,Uber,"Entertainment, Groceries, Travel, Transportation, General Expenses, Dining",2022-06-27,Japan
1129,Joint Account,945.0,Starbucks,"Transportation, Groceries, Entertainment, General Expenses, Travel, Dining",2022-08-25,Singapore
1130,Checking,351.43,Starbucks,"Travel, Dining, General Expenses, Transportation, Entertainment",2022-06-07,Australia
1131,Joint Account,581.18,Grab,"Groceries, General Expenses, Transportation, Travel, Dining",2022-06-28,Australia
1132,Checking,331.11,Grab,Groceries,2022-10-11,Singapore
1133,Joint Account,38.18,Uber,"Dining, Entertainment, Groceries, Travel",2022-11-28,Australia
1134,Savings,244.71,Amazon,"Travel, Dining, Groceries",2022-11-08,Singapore
1135,Checking,778.15,ACME,"Travel, General Expenses, Dining, Transportation",2022-06-12,Australia
1136,Savings,692.93,Walmart,Travel,2022-09-06,Indonesia
1137,Savings,803.94,Google,"Groceries, Dining, Entertainment, Transportation, General Expenses",2022-09-26,Australia
1138,Checking,554.74,Amazon,Dining,2022-12-06,Japan
1139,Savings,55.84,Google,"Groceries, Transportation, Travel, Dining",2022-11-03,Indonesia
1140,Checking,914.0,Google,"Transportation, Groceries, General Expenses, Travel",2022-08-11,Japan
1141,Joint Account,947.51,Starbucks,"Transportation, Groceries, Travel, Dining, Entertainment, General Expenses",2022-11-18,Singapore
1142,Joint Account,378.36,ACME,"Dining, Travel, Transportation",2022-10-05,Australia
1143,Joint Account,992.17,Gojek,"Groceries, Entertainment, Dining, General Expenses, Transportation, Travel",2022-11-03,Japan
1144,Joint Account,292.5,Grab,Groceries,2022-09-09,Indonesia
1145,Joint Account,322.46,Grab,"Entertainment, Travel, General Expenses",2022-12-04,Indonesia
1146,Joint Account,800.43,Starbucks,"Travel, Entertainment, Transportation",2022-12-06,Australia
1147,Savings,636.79,Grab,"Travel, Dining, Entertainment",2022-07-26,Indonesia
1148,Savings,801.07,Amazon,"Transportation, Travel, General Expenses, Entertainment, Dining, Groceries",2022-12-07,Singapore
1149,Savings,475.93,Grab,"Transportation, Entertainment",2022-06-03,Indonesia
1150,Joint Account,108.77,Uber,"Groceries, Travel, Entertainment",2022-09-30,Japan
1151,Joint Account,434.58,Google,"Groceries, Transportation, Dining, Entertainment, General Expenses, Travel",2022-07-05,Japan
1152,Savings,725.1,Grab,"Transportation, Dining",2022-07-18,Indonesia
1153,Savings,374.25,Uber,"General Expenses, Groceries, Travel, Dining",2022-11-24,Japan
1154,Checking,411.69,Grab,"Entertainment, Travel, Groceries, Dining, Transportation, General Expenses",2022-06-19,Japan
1155,Savings,878.71,Gojek,"Transportation, Travel, Groceries, General Expenses, Entertainment, Dining",2022-10-19,Singapore
1156,Joint Account,431.49,Google,Entertainment,2022-11-23,Japan
1157,Joint Account,525.54,Starbucks,"Groceries, Dining, Entertainment, Transportation",2022-07-27,Indonesia
1158,Joint Account,2.5,Google,"Transportation, Entertainment",2022-09-06,Australia
1159,Checking,218.48,ACME,"Dining, Transportation, Groceries, Entertainment, Travel",2022-11-18,Australia
1160,Joint Account,824.95,Google,"General Expenses, Travel, Transportation, Entertainment, Groceries, Dining",2022-07-10,Singapore
1161,Checking,321.91,Google,Dining,2022-07-16,Singapore
1162,Checking,455.35,Google,"Entertainment, Travel, General Expenses, Groceries, Transportation, Dining",2022-12-10,Singapore
1163,Savings,801.21,Fairprice,Groceries,2022-11-11,Japan
1164,Joint Account,751.09,Uber,"Entertainment, Groceries, Dining, Travel, General Expenses, Transportation",2022-10-11,Singapore
1165,Savings,224.78,Amazon,"Entertainment, Travel, Dining, General Expenses",2022-12-27,Singapore
1166,Joint Account,731.81,Grab,"Groceries, General Expenses, Dining, Travel, Entertainment",2022-06-18,Japan
1167,Savings,887.46,Starbucks,"General Expenses, Dining, Travel, Entertainment, Groceries, Transportation",2022-12-31,Australia
1168,Checking,741.58,Walmart,"Groceries, General Expenses, Transportation",2022-11-30,Australia
1169,Joint Account,385.36,Gojek,Groceries,2022-12-13,Japan
1170,Savings,970.5,Amazon,"Travel, Transportation, Dining, Entertainment, Groceries",2022-10-17,Indonesia
1171,Savings,31.7,Fairprice,"General Expenses, Transportation",2022-06-12,Australia
1172,Joint Account,661.35,Starbucks,"Travel, Dining, Transportation, General Expenses, Entertainment",2022-10-30,Singapore
1173,Joint Account,747.14,Walmart,"Transportation, Dining, Entertainment, Groceries",2022-06-07,Indonesia
1174,Checking,33.98,Uber,"General Expenses, Entertainment, Transportation, Travel, Dining",2022-08-21,Japan
1175,Joint Account,489.01,ACME,"General Expenses, Travel, Groceries",2022-12-07,Indonesia
1176,Savings,623.11,Fairprice,"Entertainment, General Expenses",2022-12-26,Japan
1177,Joint Account,427.87,Google,"Groceries, General Expenses, Dining, Travel, Entertainment, Transportation",2022-10-03,Singapore
1178,Joint Account,562.09,ACME,"Entertainment, Groceries, Dining",2022-10-10,Japan
1179,Joint Account,531.69,ACME,"Entertainment, Dining, Travel, General Expenses",2022-08-16,Japan
1180,Savings,830.65,Starbucks,"Travel, Transportation, General Expenses",2022-08-04,Singapore
1181,Joint Account,976.21,Google,"Groceries, Transportation, Travel, Entertainment, Dining",2022-08-08,Japan
1182,Savings,15.78,Walmart,"Dining, Entertainment, Travel",2022-07-11,Australia
1183,Checking,26.11,ACME,"Travel, Transportation",2022-08-22,Japan
1184,Checking,943.31,Google,Travel,2022-10-21,Australia
1185,Checking,4.06,Uber,"Travel, General Expenses, Entertainment",2022-12-04,Australia
1186,Savings,822.91,Walmart,"Entertainment, Transportation",2022-12-24,Indonesia
1187,Savings,36.56,Fairprice,"Dining, Travel, Transportation, Groceries, General Expenses",2022-12-27,Japan
1188,Savings,940.13,Fairprice,"General Expenses, Entertainment",2022-12-17,Japan
1189,Savings,798.22,Uber,Travel,2022-09-12,Indonesia
1190,Checking,24.81,Fairprice,"Dining, General Expenses, Groceries",2022-09-18,Australia
1191,Savings,767.62,Uber,"Transportation, Dining, Groceries, Travel, General Expenses, Entertainment",2022-07-15,Singapore
1192,Checking,716.96,Grab,"General Expenses, Transportation, Travel, Dining, Entertainment",2022-06-12,Indonesia
1193,Checking,724.22,ACME,"Travel, Groceries, Entertainment, General Expenses, Transportation",2022-09-08,Japan
1194,Savings,46.97,Starbucks,"General Expenses, Dining, Transportation",2022-09-21,Japan
1195,Savings,374.6,Walmart,"Transportation, Dining",2022-06-15,Singapore
1196,Checking,685.33,Grab,"General Expenses, Dining",2022-12-02,Australia
1197,Savings,450.49,Gojek,Groceries,2022-07-16,Singapore
1198,Checking,287.18,Grab,"General Expenses, Transportation, Groceries",2022-10-03,Indonesia
1199,Checking,59.46,Fairprice,"Travel, Transportation, Dining, Entertainment",2022-12-27,Japan
1200,Joint Account,996.36,Grab,Groceries,2022-08-16,Indonesia
1201,Savings,313.72,Google,"General Expenses, Transportation, Dining, Travel",2022-11-01,Indonesia
1202,Checking,133.53,Gojek,"Dining, Transportation, Groceries, Travel",2022-08-25,Japan
1203,Checking,423.93,ACME,"Groceries, Dining, General Expenses",2022-08-26,Singapore
1204,Savings,256.82,Grab,Entertainment,2022-11-24,Indonesia
1205,Savings,172.03,Fairprice,"Travel, General Expenses, Entertainment, Transportation, Dining, Groceries",2022-11-01,Singapore
1206,Savings,826.53,Amazon,"Transportation, Groceries",2022-08-04,Singapore
1207,Joint Account,7.96,Starbucks,"Dining, General Expenses, Travel",2022-12-19,Singapore
1208,Savings,458.19,Starbucks,"Transportation, Groceries, Entertainment, Travel, Dining",2022-09-12,Indonesia
1209,Joint Account,658.75,Google,"Dining, Transportation",2022-08-21,Singapore
1210,Checking,170.26,ACME,"Dining, General Expenses, Groceries",2022-09-23,Australia
1211,Savings,969.98,Starbucks,Travel,2022-09-05,Australia
1212,Joint Account,391.94,Amazon,"Travel, Transportation, Groceries, Entertainment",2022-12-12,Australia
1213,Checking,912.59,Google,"General Expenses, Entertainment",2022-08-10,Japan
1214,Savings,211.04,Gojek,"Travel, Dining, General Expenses",2022-10-09,Indonesia
1215,Savings,155.08,Google,"Groceries, Entertainment, Travel, General Expenses, Transportation, Dining",2022-09-07,Indonesia
1216,Savings,999.38,Gojek,"Groceries, Transportation, General Expenses, Entertainment",2022-08-29,Singapore
1217,Checking,740.67,Uber,"Transportation, General Expenses, Dining, Travel, Entertainment",2022-08-02,Australia
1218,Checking,42.54,Gojek,"Transportation, Dining, Entertainment",2022-08-06,Singapore
1219,Checking,70.03,Fairprice,"Dining, Groceries, Travel, Entertainment, General Expenses, Transportation",2022-08-05,Japan
1220,Joint Account,754.48,Gojek,"Dining, Transportation",2022-06-24,Singapore
1221,Checking,383.8,Uber,Groceries,2022-09-15,Singapore
1222,Checking,585.39,ACME,"General Expenses, Entertainment, Groceries",2022-08-18,Singapore
1223,Joint Account,319.17,Fairprice,Travel,2022-07-01,Australia
1224,Savings,146.76,ACME,"Dining, Travel",2022-09-18,Singapore
1225,Checking,152.78,Walmart,"General Expenses, Transportation, Entertainment, Travel, Groceries, Dining",2022-12-26,Indonesia
1226,Joint Account,446.09,ACME,"Transportation, Groceries, Dining",2022-10-11,Singapore
1227,Checking,255.25,Uber,"Travel, General Expenses, Transportation, Groceries, Entertainment, Dining",2022-10-14,Japan
1228,Joint Account,809.05,Fairprice,"Groceries, Entertainment, Travel, Transportation, General Expenses, Dining",2022-10-20,Australia
1229,Checking,610.69,ACME,"General Expenses, Transportation, Groceries, Entertainment, Dining, Travel",2022-09-21,Indonesia
1230,Savings,125.83,Google,"Groceries, Transportation, Entertainment, Dining, Travel, General Expenses",2022-10-02,Japan
1231,Joint Account,87.28,Amazon,"Travel, Groceries, Dining, Entertainment, General Expenses",2022-10-04,Singapore
1232,Joint Account,289.78,Google,"General Expenses, Dining",2022-07-09,Japan
1233,Savings,8.56,Fairprice,Entertainment,2022-11-06,Indonesia
1234,Joint Account,647.73,ACME,"Entertainment, Dining, General Expenses, Groceries, Travel, Transportation",2022-10-26,Singapore
1235,Checking,863.25,Walmart,"Travel, Transportation, Groceries, Dining, Entertainment, General Expenses",2022-06-14,Australia
1236,Checking,457.89,ACME,"Transportation, General Expenses, Entertainment, Groceries, Travel",2022-08-23,Australia
1237,Checking,967.78,Grab,Transportation,2022-08-24,Australia
1238,Checking,128.59,Walmart,"Dining, Entertainment, General Expenses, Groceries",2022-10-20,Singapore
1239,Checking,417.74,Grab,"Dining, Entertainment",2022-10-13,Indonesia
1240,Joint Account,327.63,Google,"Dining, Transportation",2022-06-07,Indonesia
1241,Joint Account,416.36,Grab,"Groceries, Travel, Dining",2022-11-17,Indonesia
1242,Joint Account,470.73,Walmart,"Dining, Groceries, Travel, Transportation, Entertainment",2022-10-03,Japan
1243,Joint Account,681.47,Uber,"Groceries, Travel, General Expenses, Entertainment, Dining",2022-12-27,Japan
1244,Savings,438.06,Amazon,General Expenses,2022-11-18,Indonesia
1245,Checking,693.24,Walmart,Travel,2022-09-23,Indonesia
1246,Savings,325.61,Google,"Groceries, Dining",2022-09-11,Australia
1247,Joint Account,102.62,Starbucks,"Entertainment, General Expenses, Groceries, Dining",2022-09-03,Japan
1248,Savings,632.59,Google,"Entertainment, Dining, Travel",2022-10-30,Indonesia
1249,Savings,192.51,Walmart,General Expenses,2022-06-13,Australia
1250,Joint Account,111.11,Gojek,"Entertainment, Dining, General Expenses, Transportation",2022-10-25,Japan
1251,Joint Account,257.64,Uber,"Transportation, General Expenses",2022-11-02,Australia
1252,Savings,176.89,Amazon,"Entertainment, Travel, Groceries, General Expenses, Transportation, Dining",2022-10-19,Indonesia
1253,Checking,571.02,ACME,"Transportation, Dining, Groceries, Travel",2022-08-26,Singapore
1254,Joint Account,192.59,Fairprice,Entertainment,2022-11-23,Singapore
1255,Checking,149.04,ACME,"Entertainment, Dining, General Expenses",2022-09-24,Indonesia
1256,Joint Account,714.69,Grab,General Expenses,2022-12-24,Singapore
1257,Checking,460.71,Grab,"Entertainment, Dining",2022-10-23,Indonesia
1258,Checking,868.05,Grab,"Entertainment, General Expenses, Transportation, Travel, Groceries, Dining",2022-11-26,Japan
1259,Savings,865.12,Walmart,"Entertainment, Travel, General Expenses, Transportation, Groceries",2022-08-12,Japan
1260,Joint Account,344.66,Grab,"General Expenses, Travel, Entertainment, Groceries, Transportation, Dining",2022-09-28,Australia
1261,Savings,370.56,Amazon,"Dining, Travel",2022-08-16,Japan
1262,Savings,979.76,Starbucks,"Travel, Transportation",2022-06-26,Singapore
1263,Savings,309.39,ACME,"Entertainment, General Expenses, Groceries, Transportation",2022-07-07,Japan
1264,Savings,114.62,Amazon,"Groceries, Entertainment, General Expenses, Travel",2022-08-31,Australia
1265,Checking,974.35,Walmart,"Entertainment, Travel",2022-11-12,Australia
1266,Joint Account,525.55,Starbucks,"Transportation, Travel, Groceries",2022-06-18,Japan
1267,Joint Account,652.04,Grab,Entertainment,2022-11-15,Japan
1268,Joint Account,239.12,Amazon,"General Expenses, Entertainment, Transportation, Travel, Groceries",2022-06-15,Singapore
1269,Checking,186.21,ACME,"Groceries, Entertainment, Transportation, General Expenses, Dining",2022-11-30,Singapore
1270,Checking,803.35,Amazon,"Transportation, Entertainment, Travel, Groceries",2022-12-19,Indonesia
1271,Joint Account,993.73,Amazon,Groceries,2022-11-25,Japan
1272,Joint Account,40.2,ACME,"Travel, Entertainment, Dining",2022-11-10,Singapore
1273,Savings,106.82,Gojek,"Groceries, Dining, Travel",2022-12-08,Indonesia
1274,Joint Account,647.7,Amazon,"Transportation, Entertainment, Dining",2022-08-27,Australia
1275,Savings,755.08,Walmart,"General Expenses, Travel, Transportation",2022-07-22,Australia
1276,Joint Account,620.95,Fairprice,General Expenses,2022-08-12,Australia
1277,Checking,408.31,Google,"Groceries, Transportation",2022-09-01,Australia
1278,Savings,29.95,Starbucks,"Dining, General Expenses, Groceries, Entertainment, Transportation, Travel",2022-06-10,Japan
1279,Joint Account,26.92,ACME,"General Expenses, Groceries",2022-10-16,Indonesia
1280,Savings,275.51,Amazon,Transportation,2022-06-25,Singapore
1281,Savings,926.6,ACME,"Transportation, Entertainment, Travel, Groceries, General Expenses, Dining",2022-08-19,Singapore
1282,Savings,438.02,Starbucks,"Dining, General Expenses",2022-12-31,Australia
1283,Joint Account,782.46,Uber,"General Expenses, Transportation, Groceries, Entertainment, Dining",2022-08-05,Singapore
1284,Joint Account,309.21,Amazon,"Travel, Groceries",2022-08-27,Singapore
1285,Savings,486.6,Gojek,"Transportation, Dining, Travel",2022-09-05,Singapore
1286,Joint Account,434.83,Fairprice,"Travel, Groceries, Entertainment, Dining, General Expenses",2022-06-06,Australia
1287,Checking,507.13,Uber,"Transportation, General Expenses, Entertainment, Travel",2022-07-20,Japan
1288,Joint Account,284.99,ACME,"Travel, Transportation",2022-11-30,Indonesia
1289,Savings,338.2,Amazon,"Dining, General Expenses",2022-11-29,Japan
1290,Savings,563.07,Uber,"Dining, Transportation, Entertainment, General Expenses, Travel",2022-07-17,Singapore
1291,Joint Account,613.11,Uber,"General Expenses, Travel, Groceries, Dining, Entertainment, Transportation",2022-07-22,Singapore
1292,Checking,315.7,Amazon,"Dining, Entertainment, General Expenses, Groceries",2022-07-24,Indonesia
1293,Savings,646.1,Amazon,Travel,2022-10-20,Australia
1294,Checking,414.85,ACME,"Travel, Entertainment",2022-12-25,Japan
1295,Savings,394.18,Fairprice,"Dining, Travel, Groceries, General Expenses, Entertainment",2022-09-14,Indonesia
1296,Joint Account,906.54,Grab,"Transportation, Dining, General Expenses, Travel, Entertainment, Groceries",2022-11-08,Singapore
1297,Joint Account,96.39,Starbucks,"Entertainment, Transportation, Travel",2022-06-25,Japan
1298,Joint Account,478.2,Gojek,General Expenses,2022-10-01,Indonesia
1299,Savings,890.93,Google,"Dining, Entertainment, Transportation",2022-10-20,Indonesia
1300,Savings,182.42,Gojek,"General Expenses, Entertainment",2022-12-22,Indonesia
1301,Checking,310.54,Fairprice,General Expenses,2022-07-04,Indonesia
1302,Checking,927.53,Starbucks,Entertainment,2022-12-20,Australia
1303,Savings,390.24,Grab,"General Expenses, Travel",2022-08-20,Indonesia
1304,Checking,292.85,Uber,"Dining, Groceries, Travel, Transportation, General Expenses",2022-06-30,Japan
1305,Savings,544.33,Google,"Groceries, Transportation, Travel",2022-07-28,Japan
1306,Savings,456.38,ACME,"Transportation, General Expenses, Entertainment",2022-12-05,Japan
1307,Savings,860.28,Walmart,"Entertainment, General Expenses, Transportation",2022-09-16,Australia
1308,Checking,710.77,Gojek,"Entertainment, General Expenses, Dining",2022-12-30,Japan
1309,Checking,977.06,Grab,"Travel, General Expenses, Entertainment",2022-08-05,Singapore
1310,Joint Account,667.9,Grab,"Transportation, Groceries, Entertainment, Travel, General Expenses",2022-06-20,Singapore
1311,Savings,55.52,Google,"Transportation, Groceries, General Expenses",2022-12-19,Japan
1312,Joint Account,116.36,Starbucks,"Groceries, Entertainment",2022-06-05,Japan
1313,Checking,768.47,Google,Groceries,2022-09-21,Indonesia
1314,Checking,833.75,Uber,"Groceries, Transportation, Entertainment, Travel, General Expenses",2022-11-23,Japan
1315,Checking,703.38,Gojek,"Dining, Groceries, Entertainment",2022-06-01,Japan
1316,Joint Account,836.41,Amazon,Transportation,2022-08-11,Japan
1317,Joint Account,575.88,Walmart,"Transportation, Travel, Groceries, Entertainment, General Expenses",2022-06-09,Australia
1318,Checking,550.82,Walmart,"Transportation, General Expenses, Dining, Travel, Entertainment, Groceries",2022-09-20,Australia
1319,Joint Account,913.5,Google,"Dining, Transportation",2022-12-22,Japan
1320,Checking,16.33,Gojek,Travel,2022-06-08,Indonesia
1321,Joint Account,662.47,Walmart,"General Expenses, Entertainment",2022-06-03,Indonesia
1322,Joint Account,704.11,Amazon,General Expenses,2022-09-22,Indonesia
1323,Checking,421.17,Starbucks,Groceries,2022-08-20,Japan
1324,Savings,622.09,Google,Dining,2022-08-09,Australia
1325,Savings,680.89,Gojek,"Transportation, Dining, General Expenses, Travel, Groceries",2022-12-20,Australia
1326,Joint Account,324.2,Amazon,"Transportation, General Expenses, Dining",2022-11-23,Australia
1327,Checking,666.59,Amazon,Travel,2022-07-05,Indonesia
1328,Joint Account,720.44,Amazon,"General Expenses, Groceries, Transportation, Travel, Entertainment, Dining",2022-07-26,Indonesia
1329,Joint Account,868.45,Uber,"Entertainment, Dining, Transportation, General Expenses, Travel, Groceries",2022-10-04,Japan
1330,Savings,452.78,Amazon,"Travel, General Expenses, Entertainment, Transportation",2022-07-08,Japan
1331,Joint Account,609.38,Amazon,Dining,2022-09-23,Japan
1332,Joint Account,609.52,Uber,Entertainment,2022-08-28,Indonesia
1333,Joint Account,419.62,ACME,"Travel, Entertainment, Transportation",2022-06-30,Indonesia
1334,Checking,62.59,ACME,"Entertainment, Travel, Transportation",2022-07-15,Japan
1335,Checking,833.95,Amazon,"Travel, Entertainment, Dining, Groceries, General Expenses",2022-10-16,Australia
1336,Savings,175.72,Grab,"Groceries, Travel, General Expenses, Entertainment, Dining, Transportation",2022-09-26,Japan
1337,Checking,760.56,ACME,"Transportation, Groceries, Travel",2022-12-21,Singapore
1338,Savings,875.6,ACME,"General Expenses, Travel, Groceries, Dining, Transportation",2022-11-15,Indonesia
1339,Savings,475.99,Gojek,"Transportation, Entertainment, Dining",2022-07-14,Singapore
1340,Savings,264.48,Walmart,"Dining, Travel, Groceries, General Expenses, Transportation, Entertainment",2022-12-09,Indonesia
1341,Checking,888.69,Starbucks,Groceries,2022-12-26,Australia
1342,Checking,623.15,Fairprice,General Expenses,2022-12-15,Indonesia
1343,Checking,251.44,Google,"Groceries, Entertainment, Transportation, General Expenses, Travel",2022-06-16,Singapore
1344,Joint Account,844.21,Uber,General Expenses,2022-12-20,Singapore
1345,Joint Account,460.96,Gojek,"Travel, General Expenses, Transportation, Groceries, Entertainment, Dining",2022-08-19,Indonesia
1346,Joint Account,947.86,Grab,"Entertainment, Groceries, Transportation, Travel",2022-06-26,Australia
1347,Joint Account,290.83,ACME,"Entertainment, Groceries, Travel",2022-07-14,Singapore
1348,Checking,984.18,Gojek,Entertainment,2022-11-28,Singapore
1349,Savings,536.22,Amazon,General Expenses,2022-10-09,Singapore
1350,Checking,212.72,Amazon,Travel,2022-12-26,Indonesia
1351,Joint Account,878.68,Walmart,"Entertainment, Travel, Transportation, Groceries",2022-09-10,Singapore
1352,Savings,799.89,Fairprice,"Transportation, Dining, Entertainment, Groceries",2022-07-06,Australia
1353,Joint Account,234.21,Uber,"Travel, Transportation, Groceries",2022-12-05,Japan
1354,Checking,59.74,Fairprice,General Expenses,2022-11-08,Indonesia
1355,Savings,823.43,Starbucks,"Dining, Travel, Groceries, Transportation",2022-10-03,Singapore
1356,Joint Account,783.12,Uber,"General Expenses, Travel, Dining",2022-12-06,Indonesia
1357,Savings,143.35,Google,"Transportation, Groceries, General Expenses, Travel",2022-09-15,Japan
1358,Savings,380.83,ACME,"Groceries, Travel, General Expenses, Transportation, Dining, Entertainment",2022-10-17,Japan
1359,Checking,571.08,ACME,"Transportation, Entertainment, Groceries, Travel, Dining, General Expenses",2022-06-20,Singapore
1360,Joint Account,908.41,Uber,Groceries,2022-08-07,Japan
1361,Checking,274.08,Gojek,"Groceries, Dining",2022-10-01,Singapore
1362,Checking,399.81,Amazon,"Entertainment, Transportation, Groceries, Dining, General Expenses",2022-08-07,Indonesia
1363,Checking,538.66,Starbucks,"Dining, General Expenses",2022-09-21,Indonesia
1364,Savings,518.22,Fairprice,"Dining, Transportation, Groceries, Entertainment, Travel, General Expenses",2022-09-15,Indonesia
1365,Checking,625.55,Google,"General Expenses, Groceries",2022-08-02,Singapore
1366,Checking,27.3,Starbucks,"Dining, Travel, Entertainment, Groceries, General Expenses",2022-11-22,Australia
1367,Checking,842.26,Uber,"Entertainment, Groceries, Dining",2022-07-21,Japan
1368,Savings,352.75,Walmart,"Groceries, Travel",2022-11-14,Australia
1369,Joint Account,639.47,Walmart,"Transportation, General Expenses, Travel, Entertainment, Groceries",2022-08-13,Singapore
1370,Checking,585.84,Fairprice,"Transportation, General Expenses",2022-10-23,Singapore
1371,Joint Account,237.2,Amazon,"Dining, General Expenses, Entertainment, Groceries",2022-08-13,Singapore
1372,Checking,931.02,Fairprice,"Travel, Entertainment, Groceries, General Expenses, Transportation, Dining",2022-06-23,Japan
1373,Joint Account,974.62,Google,"Entertainment, Transportation",2022-07-12,Indonesia
1374,Savings,849.3,Fairprice,"Dining, General Expenses, Transportation, Travel, Groceries, Entertainment",2022-09-16,Singapore
1375,Savings,628.64,Grab,General Expenses,2022-12-23,Australia
1376,Joint Account,384.81,Gojek,"General Expenses, Dining, Transportation, Travel, Entertainment",2022-08-31,Australia
1377,Joint Account,48.48,Starbucks,"Dining, Groceries, General Expenses, Entertainment, Travel, Transportation",2022-11-03,Indonesia
1378,Checking,715.01,Walmart,"Travel, General Expenses, Entertainment",2022-07-29,Australia
1379,Checking,219.39,Starbucks,"Entertainment, Groceries, Dining, General Expenses, Transportation, Travel",2022-09-07,Japan
1380,Checking,513.97,Gojek,Entertainment,2022-06-10,Singapore
1381,Checking,525.88,Fairprice,"Transportation, Entertainment, Dining",2022-11-22,Australia
1382,Joint Account,819.95,Grab,"Travel, Dining, Groceries, Transportation, General Expenses",2022-07-06,Australia
1383,Joint Account,619.96,Gojek,"Groceries, Travel",2022-09-22,Singapore
1384,Checking,753.41,Uber,"Transportation, Dining, Travel, Groceries, Entertainment, General Expenses",2022-07-27,Japan
1385,Checking,67.9,Gojek,Groceries,2022-12-07,Japan
1386,Joint Account,108.46,Fairprice,"Entertainment, Travel",2022-09-03,Australia
1387,Savings,886.11,Google,"Groceries, Transportation, Entertainment",2022-12-12,Japan
1388,Savings,781.63,Fairprice,Transportation,2022-12-17,Australia
